date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:14	75308/75308	---M--	200	added ('OK')	application/octet-stream	etag:%225dfc744f-1262c%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.woff2	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.woff2	(from https://dumpsterapp.mobi/)
14:14:15	129832/129832	---M--	200	added ('OK')	application/octet-stream	etag:%225dfc744f-1fb28%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-solid-900.woff2	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-solid-900.woff2	(from https://dumpsterapp.mobi/)
14:14:16	3189/3189	---M-Z	200	added ('OK')	image/png	etag:W/%225dfc73ce-c75%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/img/logo.png	wp-content/themes/dumpster/img/logo.png	(from https://dumpsterapp.mobi/)
14:14:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Apr%202023%2011:14:17%20GMT	https://dumpsterapp.mobi/faq	faq	(from https://dumpsterapp.mobi/)
14:14:18	51186/51186	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Apr%202023%2011:14:18%20GMT	https://dumpsterapp.mobi/faq/	faq/index.html	(from https://dumpsterapp.mobi/)
14:14:18	4130/4130	---M-Z	200	added ('OK')	image/png	etag:W/%225fd68fa8-1022%22	https://dumpsterapp.mobi/wp-content/uploads/2020/12/google-play-badge.png	wp-content/uploads/2020/12/google-play-badge.png	(from https://dumpsterapp.mobi/)
14:14:19	4867/4867	---M-Z	200	added ('OK')	image/png	etag:W/%225fd68fb1-1303%22	https://dumpsterapp.mobi/wp-content/uploads/2020/12/ag-badge-black.png	wp-content/uploads/2020/12/ag-badge-black.png	(from https://dumpsterapp.mobi/)
14:14:20	62890/62890	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Apr%202023%2011:14:19%20GMT	https://dumpsterapp.mobi/category/all/	category/all/index.html	(from https://dumpsterapp.mobi/)
14:14:21	6764/6764	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225dfc73ce-1a6c%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/img/google-mob.svg	wp-content/themes/dumpster/img/google-mob.svg	(from https://dumpsterapp.mobi/)
14:14:22	27445/27445	---M-Z	200	added ('OK')	image/png	etag:W/%225fd28119-6b35%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/img-2.png	wp-content/uploads/2019/11/img-2.png	(from https://dumpsterapp.mobi/)
14:14:22	51515/51515	---M-Z	200	added ('OK')	image/jpeg	etag:W/%2260ffb8b0-c93b%22	https://dumpsterapp.mobi/wp-content/uploads/2021/07/img-1-496x1024c.jpg	wp-content/uploads/2021/07/img-1-496x1024c.jpg	(from https://dumpsterapp.mobi/)
14:14:23	54749/54749	---M-Z	200	added ('OK')	image/png	etag:W/%225dfc73ce-d5dd%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/img-3.png	wp-content/uploads/2019/11/img-3.png	(from https://dumpsterapp.mobi/)
14:14:24	45365/45365	---M-Z	200	added ('OK')	image/jpeg	etag:W/%2260c9da88-b135%22	https://dumpsterapp.mobi/wp-content/uploads/2021/06/img-4-1024x419-1.jpg	wp-content/uploads/2021/06/img-4-1024x419-1.jpg	(from https://dumpsterapp.mobi/)
14:14:25	74325/74325	---M-Z	200	added ('OK')	image/png	etag:W/%225dfc73cf-12255%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/img-5.png	wp-content/uploads/2019/11/img-5.png	(from https://dumpsterapp.mobi/)
14:14:26	545/545	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225dfc73ce-221%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/img/star.svg	wp-content/themes/dumpster/img/star.svg	(from https://dumpsterapp.mobi/)
14:14:27	2692/2692	---M-Z	200	added ('OK')	image/png	etag:W/%225dfc73cf-a84%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/img-6.png	wp-content/uploads/2019/11/img-6.png	(from https://dumpsterapp.mobi/)
14:14:28	3257/3257	---M-Z	200	added ('OK')	image/png	etag:W/%225dfc73cf-cb9%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/img-7.png	wp-content/uploads/2019/11/img-7.png	(from https://dumpsterapp.mobi/)
14:14:29	2405/2405	---M-Z	200	added ('OK')	image/png	etag:W/%225dfc73cf-965%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/img-8.png	wp-content/uploads/2019/11/img-8.png	(from https://dumpsterapp.mobi/)
14:14:30	3544/3544	---M-Z	200	added ('OK')	image/png	etag:W/%225dfc73cf-dd8%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/img-9.png	wp-content/uploads/2019/11/img-9.png	(from https://dumpsterapp.mobi/)
14:14:31	4378/4378	---M-Z	200	added ('OK')	image/png	etag:W/%225de11ab9-111a%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/img/btn-no-board.png	wp-content/themes/dumpster/img/btn-no-board.png	(from https://dumpsterapp.mobi/)
14:14:32	594/594	---M-Z	200	added ('OK')	image/png	etag:W/%225fd200fa-252%22	https://dumpsterapp.mobi/wp-content/uploads/2020/09/footer-logo-cover.png	wp-content/uploads/2020/09/footer-logo-cover.png	(from https://dumpsterapp.mobi/)
14:14:33	1475/1475	---M-Z	200	added ('OK')	image/png	etag:W/%225fd200d1-5c3%22	https://dumpsterapp.mobi/wp-content/uploads/2020/09/footer-logo-dumpster.png	wp-content/uploads/2020/09/footer-logo-dumpster.png	(from https://dumpsterapp.mobi/)
14:14:34	949/949	---M-Z	200	added ('OK')	image/png	etag:W/%225fd200c8-3b5%22	https://dumpsterapp.mobi/wp-content/uploads/2020/09/footer-logo-X-cleaner.png	wp-content/uploads/2020/09/footer-logo-X-cleaner.png	(from https://dumpsterapp.mobi/)
14:14:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Apr%202023%2011:14:35%20GMT	https://dumpsterapp.mobi/faq/terms-and-conditions	faq/terms-and-conditions	(from https://dumpsterapp.mobi/)
14:14:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Apr%202023%2011:14:36%20GMT	https://dumpsterapp.mobi/faq/privacy-policy	faq/privacy-policy.2d.delayed	(from https://dumpsterapp.mobi/)
14:14:37	8415/8415	---M-Z	200	added ('OK')	application/javascript	etag:W/%225dfc73ce-20df%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/js/jquery.slicknav.min.js?ver=1.32	wp-content/themes/dumpster/js/jquery.slicknav.mindbe6.js	(from https://dumpsterapp.mobi/)
14:14:38	61063/61063	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Apr%202023%2011:14:37%20GMT	https://dumpsterapp.mobi/faq/terms-and-conditions/	faq/terms-and-conditions/index.html	(from https://dumpsterapp.mobi/)
14:14:39	6518/6518	---M-Z	200	added ('OK')	application/javascript	etag:W/%225dfc73ce-1976%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/js/jquery.ddslick.min.js?ver=1.32	wp-content/themes/dumpster/js/jquery.ddslick.mindbe6.js	(from https://dumpsterapp.mobi/)
14:14:39	84890/84890	---M-Z	200	added ('OK')	application/javascript	etag:%2260c8feb9-483b%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/js/owl.carousel.js?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/js/owl.carousel3962.js	(from https://dumpsterapp.mobi/)
14:14:40	5892/5892	---M-Z	200	added ('OK')	application/javascript	etag:%2260c8feb9-6bc%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/js/jquery.sticky.js?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/js/jquery.sticky3962.js	(from https://dumpsterapp.mobi/)
14:14:41	78627/78627	---M-Z	200	added ('OK')	application/javascript	etag:W/%225dfc73ce-13323%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/js/select2.full.min.js?ver=1.32	wp-content/themes/dumpster/js/select2.full.mindbe6.js	(from https://dumpsterapp.mobi/)
14:14:42	1851/1851	---M-Z	200	added ('OK')	application/javascript	etag:%2260c8feb9-2bf%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/js/script.js?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/js/script3962.js	(from https://dumpsterapp.mobi/)
14:14:43	180852/180852	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2c274%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Black.eot?	wp-content/themes/dumpster/fonts/roboto/Roboto-Blackd41d.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:44	94016/94016	---M--	200	added ('OK')	application/font-woff	etag:%225dfc7405-16f40%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Black.woff	wp-content/themes/dumpster/fonts/roboto/Roboto-Black.woff	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:45	180652/180652	---M-Z	200	added ('OK')	application/octet-stream	etag:%225dfc7405-2c1ac%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Black.ttf	wp-content/themes/dumpster/fonts/roboto/Roboto-Black.ttf	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:46	179992/179992	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2bf18%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Bold.eot	wp-content/themes/dumpster/fonts/roboto/Roboto-Bold.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:47	179992/179992	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2bf18%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Bold.eot?	wp-content/themes/dumpster/fonts/roboto/Roboto-Boldd41d.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:48	93700/93700	---M--	200	added ('OK')	application/font-woff	etag:%225dfc7405-16e04%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Bold.woff	wp-content/themes/dumpster/fonts/roboto/Roboto-Bold.woff	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:49	179812/179812	---M-Z	200	added ('OK')	application/octet-stream	etag:%225dfc7405-2be64%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Bold.ttf	wp-content/themes/dumpster/fonts/roboto/Roboto-Bold.ttf	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Apr%202023%2011:14:37%20GMT	https://dumpsterapp.mobi/faq/privacy-policy/	faq/privacy-policy/index.html	(from https://dumpsterapp.mobi/)
14:14:50	181460/181460	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2c4d4%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Medium.eot	wp-content/themes/dumpster/fonts/roboto/Roboto-Medium.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:51	181460/181460	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2c4d4%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Medium.eot?	wp-content/themes/dumpster/fonts/roboto/Roboto-Mediumd41d.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:52	94032/94032	---M--	200	added ('OK')	application/font-woff	etag:%225dfc7405-16f50%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Medium.woff	wp-content/themes/dumpster/fonts/roboto/Roboto-Medium.woff	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:53	181256/181256	---M-Z	200	added ('OK')	application/octet-stream	etag:%225dfc7405-2c408%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Medium.ttf	wp-content/themes/dumpster/fonts/roboto/Roboto-Medium.ttf	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:54	181108/181108	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2c374%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Regular.eot	wp-content/themes/dumpster/fonts/roboto/Roboto-Regular.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:55	181108/181108	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2c374%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Regular.eot?	wp-content/themes/dumpster/fonts/roboto/Roboto-Regulard41d.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:56	93388/93388	---M--	200	added ('OK')	application/font-woff	etag:%225dfc7405-16ccc%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Regular.woff	wp-content/themes/dumpster/fonts/roboto/Roboto-Regular.woff	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:57	180932/180932	---M-Z	200	added ('OK')	application/octet-stream	etag:%225dfc7405-2c2c4%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Regular.ttf	wp-content/themes/dumpster/fonts/roboto/Roboto-Regular.ttf	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:58	34064/34064	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-8510%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Roman.eot	wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Roman.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:14:59	34064/34064	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-8510%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Roman.eot?	wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Romand41d.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:15:00	16560/16560	---M--	200	added ('OK')	application/font-woff	etag:%225dfc7405-40b0%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Roman.woff	wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Roman.woff	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:15:01	33876/33876	---M-Z	200	added ('OK')	application/octet-stream	etag:%225dfc7405-8454%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Roman.ttf	wp-content/themes/dumpster/fonts/times-roman/OPTITimes-Roman.ttf	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145)
14:15:02	130906/130906	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc744f-1ff5a%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.eot	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145)
14:15:03	130906/130906	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc744f-1ff5a%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.eot?	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400d41d.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145)
14:15:04	88428/88428	---M--	200	added ('OK')	application/font-woff	etag:%225dfc744f-1596c%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.woff	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.woff	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145)
14:15:05	130600/130600	---M-Z	200	added ('OK')	application/octet-stream	etag:%225dfc744f-1fe28%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.ttf	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.ttf	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145)
14:15:07	700460/700460	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225dfc744f-ab02c%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.svg	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-brands-400.svg	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145)
14:15:09	528586/528586	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc744f-810ca%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-duotone-900.eot?	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-duotone-900d41d.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145)
14:15:09	528586/528586	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc744f-810ca%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-duotone-900.eot	wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/webfonts/fa-duotone-900.eot	(from https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145)
